temp,atemp,hum,windspeed
0.5625,0.536,0.867083,0.152979
0.5775,0.550512,0.787917,0.126871
0.561667,0.538529,0.837917,0.277354
0.55,0.527158,0.87,0.201492
0.530833,0.510742,0.829583,0.108213
0.536667,0.529042,0.719583,0.125013
0.6025,0.571975,0.626667,0.12065
0.604167,0.5745,0.749583,0.148008
0.631667,0.590296,0.81,0.233842
0.66,0.604813,0.740833,0.207092
0.660833,0.615542,0.69625,0.154233
0.708333,0.654688,0.6775,0.199642
0.681667,0.637008,0.65375,0.240679
0.655833,0.612379,0.729583,0.230092
0.6675,0.61555,0.81875,0.213938
0.733333,0.671092,0.685,0.131225
0.775,0.725383,0.636667,0.111329
0.764167,0.720967,0.677083,0.207092
0.715,0.643942,0.305,0.292287
0.62,0.587133,0.354167,0.253121
0.635,0.594696,0.45625,0.123142
0.648333,0.616804,0.6525,0.138692
0.678333,0.621858,0.6,0.121896
0.7075,0.65595,0.597917,0.187808
0.775833,0.727279,0.622083,0.136817
0.808333,0.757579,0.568333,0.149883
0.755,0.703292,0.605,0.140554
0.725,0.678038,0.654583,0.15485
0.6925,0.643325,0.747917,0.163567
0.635,0.601654,0.494583,0.30535
0.604167,0.591546,0.507083,0.269283
0.626667,0.587754,0.471667,0.167912
0.628333,0.595346,0.688333,0.206471
0.649167,0.600383,0.735833,0.143029
0.696667,0.643954,0.670417,0.119408
0.699167,0.645846,0.666667,0.102
0.635,0.595346,0.74625,0.155475
0.531667,0.513258,0.82125,0.0895583
0.554167,0.531567,0.83125,0.117562
0.601667,0.570067,0.694167,0.1163
0.5025,0.486733,0.885417,0.192783
0.4375,0.437488,0.880833,0.220775
0.445833,0.43875,0.477917,0.386821
0.323333,0.315654,0.29,0.187192
0.484167,0.47095,0.48125,0.291671
0.494167,0.482304,0.439167,0.31965
0.37,0.375621,0.580833,0.138067
0.424167,0.421708,0.738333,0.250617
0.425833,0.417287,0.67625,0.172267
0.433913,0.427513,0.504348,0.312139
0.466667,0.461483,0.396667,0.100133
0.541667,0.53345,0.469583,0.180975
0.435,0.431163,0.374167,0.219529
0.403333,0.390767,0.377083,0.300388
0.4375,0.426129,0.254167,0.274871
0.5,0.492425,0.275833,0.232596
0.489167,0.476638,0.3175,0.358196
0.446667,0.436233,0.435,0.249375
0.348696,0.337274,0.469565,0.295274
0.3975,0.387604,0.46625,0.290429
0.4425,0.431808,0.408333,0.155471
0.495,0.487996,0.502917,0.190917
0.606667,0.573875,0.507917,0.225129
0.664167,0.614925,0.561667,0.284829
0.608333,0.598487,0.390417,0.273629
0.463333,0.457038,0.569167,0.167912
0.498333,0.493046,0.6125,0.0659292
0.526667,0.515775,0.694583,0.149871
0.57,0.542921,0.682917,0.283587
0.396667,0.389504,0.835417,0.344546
0.321667,0.301125,0.766667,0.303496
0.413333,0.405283,0.454167,0.249383
0.476667,0.470317,0.427917,0.118792
0.498333,0.483583,0.756667,0.176625
0.4575,0.452637,0.400833,0.347633
0.376667,0.377504,0.489583,0.129975
0.458333,0.450121,0.587083,0.116908
0.464167,0.457696,0.57,0.171638
0.613333,0.577021,0.659583,0.156096
0.564167,0.537896,0.797083,0.138058
0.56,0.537242,0.768333,0.133696
0.6275,0.590917,0.735417,0.162938
0.621667,0.584608,0.756667,0.152992
0.5625,0.546737,0.74,0.149879
0.5375,0.527142,0.664167,0.230721
0.581667,0.557471,0.685833,0.296029
0.575,0.553025,0.744167,0.216412
0.505833,0.491783,0.552083,0.314063
0.533333,0.520833,0.360417,0.236937
0.564167,0.544817,0.480417,0.123133
0.6125,0.585238,0.57625,0.225117
0.573333,0.5499,0.789583,0.212692
0.611667,0.576404,0.794583,0.147392
0.636667,0.595975,0.697917,0.122512
0.593333,0.572613,0.52,0.229475
0.564167,0.551121,0.523333,0.136817
0.6,0.566908,0.45625,0.083975
0.620833,0.583967,0.530417,0.254367
0.598333,0.565667,0.81125,0.233204
0.615,0.580825,0.765833,0.118167
0.621667,0.584612,0.774583,0.102
0.655,0.6067,0.716667,0.172896
0.68,0.627529,0.747083,0.14055
0.6925,0.642696,0.7325,0.198992
0.69,0.641425,0.697083,0.215171
0.7125,0.6793,0.67625,0.196521
0.7225,0.672992,0.684583,0.2954
0.656667,0.611129,0.67,0.134329
0.68,0.631329,0.492917,0.195279
0.654167,0.607962,0.755417,0.237563
0.583333,0.566288,0.549167,0.186562
0.6025,0.575133,0.493333,0.184087
0.5975,0.578283,0.487083,0.284833
0.540833,0.525892,0.613333,0.209575
0.554167,0.542292,0.61125,0.077125
0.6025,0.569442,0.567083,0.15735
0.649167,0.597862,0.467917,0.175383
0.710833,0.648367,0.437083,0.144287
0.726667,0.663517,0.538333,0.133721
0.720833,0.659721,0.587917,0.207713
0.653333,0.597875,0.833333,0.214546
0.655833,0.611117,0.582083,0.343279
0.648333,0.624383,0.569583,0.253733
0.639167,0.599754,0.589583,0.176617
0.631667,0.594708,0.504167,0.166667
0.5925,0.571975,0.59875,0.144904
0.568333,0.544842,0.777917,0.174746
0.688333,0.654692,0.69,0.148017
0.7825,0.720975,0.592083,0.113812
