temp,atemp,hum,windspeed
0.299167,0.310604,0.612917,0.0957833
0.330833,0.3491,0.775833,0.0839583
0.385833,0.393925,0.827083,0.0622083
0.4625,0.4564,0.949583,0.232583
0.41,0.400246,0.970417,0.266175
0.265833,0.256938,0.58,0.240058
0.290833,0.317542,0.695833,0.0827167
0.275,0.266412,0.5075,0.233221
0.220833,0.253154,0.49,0.0665417
0.238333,0.270196,0.670833,0.06345
0.2825,0.301138,0.59,0.14055
0.3175,0.338362,0.66375,0.0609583
0.4225,0.412237,0.634167,0.268042
0.375,0.359825,0.500417,0.260575
0.258333,0.249371,0.560833,0.243167
0.238333,0.245579,0.58625,0.169779
0.276667,0.280933,0.6375,0.172896
0.385833,0.396454,0.595417,0.0615708
0.529167,0.518933,0.467083,0.223258
0.514167,0.502513,0.492917,0.142404
0.55,0.544179,0.57,0.236321
0.635,0.596613,0.630833,0.2444
0.65,0.607975,0.690833,0.134342
0.619167,0.585863,0.69,0.164179
0.5425,0.530296,0.542917,0.227604
0.526667,0.517663,0.583333,0.134958
0.520833,0.512,0.649167,0.0908042
0.590833,0.542333,0.871667,0.104475
0.6575,0.599133,0.79375,0.0665458
0.6575,0.607975,0.722917,0.117546
0.615,0.580187,0.6275,0.10635
0.554167,0.538521,0.664167,0.268025
0.415833,0.419813,0.708333,0.141162
0.383333,0.387608,0.709583,0.189679
0.446667,0.438112,0.761667,0.1903
0.514167,0.503142,0.630833,0.187821
0.435,0.431167,0.463333,0.181596
0.4375,0.433071,0.539167,0.235092
0.393333,0.391396,0.494583,0.146142
0.521667,0.508204,0.640417,0.278612
0.561667,0.53915,0.7075,0.296037
0.468333,0.460846,0.558333,0.182221
0.455833,0.450108,0.692917,0.101371
0.5225,0.512625,0.728333,0.236937
0.563333,0.537896,0.815,0.134954
0.484167,0.472842,0.572917,0.117537
0.464167,0.456429,0.51,0.166054
0.4875,0.482942,0.568333,0.0814833
0.544167,0.530304,0.641667,0.0945458
0.5875,0.558721,0.63625,0.0727792
0.55,0.529688,0.800417,0.124375
0.545833,0.52275,0.807083,0.132467
0.53,0.515133,0.72,0.235692
0.4775,0.467771,0.694583,0.398008
0.44,0.4394,0.88,0.3582
0.318182,0.309909,0.825455,0.213009
0.3575,0.3611,0.666667,0.166667
0.365833,0.369942,0.581667,0.157346
0.355,0.356042,0.522083,0.266175
0.343333,0.323846,0.49125,0.270529
0.325833,0.329538,0.532917,0.179108
0.319167,0.308075,0.494167,0.236325
0.280833,0.281567,0.567083,0.173513
0.295833,0.274621,0.5475,0.304108
0.352174,0.341891,0.333478,0.347835
0.361667,0.355413,0.540833,0.214558
0.389167,0.393937,0.645417,0.0578458
0.420833,0.421713,0.659167,0.1275
0.485,0.475383,0.741667,0.173517
0.343333,0.323225,0.662917,0.342046
0.289167,0.281563,0.552083,0.199625
0.321667,0.324492,0.620417,0.152987
0.345,0.347204,0.524583,0.171025
0.325,0.326383,0.545417,0.179729
0.3425,0.337746,0.692917,0.227612
0.380833,0.375621,0.623333,0.235067
0.374167,0.380667,0.685,0.082725
0.353333,0.364892,0.61375,0.103246
0.34,0.350371,0.580417,0.0528708
0.368333,0.378779,0.56875,0.148021
0.278333,0.248742,0.404583,0.376871
0.245833,0.257583,0.468333,0.1505
0.313333,0.339004,0.535417,0.04665
0.291667,0.281558,0.786667,0.237562
0.296667,0.289762,0.50625,0.210821
0.28087,0.298422,0.555652,0.115522
0.298333,0.323867,0.649583,0.0584708
0.298333,0.316904,0.806667,0.0597042
0.3475,0.359208,0.823333,0.124379
0.4525,0.455796,0.7675,0.0827208
0.475833,0.469054,0.73375,0.174129
0.438333,0.428012,0.485,0.324021
0.255833,0.258204,0.50875,0.174754
0.320833,0.321958,0.764167,0.1306
0.381667,0.389508,0.91125,0.101379
0.384167,0.390146,0.905417,0.157975
0.435833,0.435575,0.925,0.190308
0.353333,0.338363,0.596667,0.296037
0.2975,0.297338,0.538333,0.162937
0.295833,0.294188,0.485833,0.174129
0.281667,0.294192,0.642917,0.131229
0.324167,0.338383,0.650417,0.10635
0.3625,0.369938,0.83875,0.100742
0.393333,0.4015,0.907083,0.0982583
0.410833,0.409708,0.66625,0.221404
0.3325,0.342162,0.625417,0.184092
0.33,0.335217,0.667917,0.132463
